station_code,Vs30
AIC001,168.5333
AIC002,351.6667
AIC003,130.0
AIC004,301.0
AIC005,795.0
AIC006,280.0
AIC007,276.3333
AIC008,732.3333
AIC009,343.0
AIC010,187.3333
AIC011,236.6667
AIC012,200.0
AIC013,590.0
AIC014,341.3333
AIC015,352.3333
AIC016,222.0
AIC017,277.0
AIC018,1054.6667
AKT001,519.0
AKT002,291.0
AKT003,458.0
AKT004,373.3333
AKT005,204.6667
AKT006,360.0
AKT007,487.3333
AKT008,283.3333
AKT009,403.3333
AKT010,380.6667
AKT011,420.3333
AKT012,354.6667
AKT013,618.0
AKT014,602.6667
AKT015,137.0
AKT016,196.5
AKT017,545.6667
AKT018,428.0
AKT019,334.6667
AKT020,236.6667
AKT021,556.0
AKT022,478.0
AKT023,454.0
AOM001,432.6667
AOM002,343.0
AOM003,166.0
AOM004,359.3333
AOM005,266.3333
AOM006,303.3333
AOM007,379.0
AOM008,391.6667
AOM009,398.0
AOM010,247.3333
AOM011,300.6667
AOM012,226.6667
AOM013,372.0
AOM014,278.6667
AOM015,449.0
AOM016,254.3333
AOM017,584.0
AOM018,410.0
AOM019,119.3333
AOM020,164.6667
AOM021,284.3333
AOM022,432.3333
AOM023,205.0
AOM024,165.0
AOM025,318.0
AOM026,239.6667
AOM027,310.6667
AOM028,636.6667
AOM029,466.3333
CHB001,256.6667
CHB002,388.6667
CHB003,191.6667
CHB004,334.0
CHB005,410.1667
CHB006,340.6667
CHB007,258.3333
CHB008,128.0
CHB009,158.0
CHB010,240.6667
CHB011,198.6667
CHB012,226.6667
CHB013,326.0
CHB014,172.3333
CHB015,123.8333
CHB016,162.0
CHB017,267.5
CHB018,484.6667
CHB019,140.6667
CHB020,164.1667
CHB021,668.0
CHB022,352.0
CHB024,205.3333
EHM001,458.0557
EHM002,537.0
EHM003,260.0
EHM004,262.6667
EHM005,364.0
EHM006,566.0
EHM007,214.0
EHM008,257.3333
EHM009,368.0
EHM010,363.3333
EHM011,294.6667
EHM012,540.0
EHM013,485.3333
EHM014,286.6667
EHM015,298.7333
EHM016,229.0
FKI001,534.3333
FKI002,322.0
FKI003,255.6667
FKI004,418.0
FKI005,452.0
FKI006,570.0
FKI007,157.3333
FKI008,199.0
FKI009,154.0
FKI010,202.0
FKI011,744.6667
FKO001,222.6667
FKO002,106.3333
FKO003,240.3333
FKO004,314.6667
FKO005,216.3333
FKO006,150.0
FKO007,416.6667
FKO008,559.6667
FKO009,400.3333
FKO010,468.3333
FKO011,212.6667
FKO012,338.0
FKO013,409.3333
FKO014,884.6667
FKO015,149.6667
FKO016,417.0
FKS001,336.3333
FKS002,536.0
FKS003,300.0
FKS004,297.6667
FKS005,562.3333
FKS006,233.3333
FKS007,584.0
FKS008,312.0
FKS009,397.0
FKS010,482.0
FKS011,437.3333
FKS012,215.3333
FKS013,244.3333
FKS014,785.7113
FKS015,547.3333
FKS016,386.6667
FKS017,272.6667
FKS018,245.3333
FKS019,287.6667
FKS020,123.0
FKS021,389.6667
FKS022,187.3853
FKS023,219.0
FKS024,202.6667
FKS025,601.0
FKS026,398.6667
FKS027,639.6667
FKS028,263.6667
FKS029,884.3333
FKS030,484.0
FKS031,446.0
GIF001,434.3333
GIF002,515.3333
GIF003,544.3333
GIF004,443.3333
GIF005,390.3333
GIF006,603.0
GIF007,314.0
GIF008,554.0
GIF009,465.3333
GIF010,490.0
GIF011,520.0
GIF012,422.0
GIF013,491.0
GIF014,503.6667
GIF015,536.0
GIF016,609.3333
GIF017,458.6667
GIF018,347.3333
GIF019,639.3333
GIF020,409.0
GIF021,581.3333
GIF022,471.0
GIF023,454.6667
GIF024,456.6667
GIF025,458.3333
GIF026,462.0
GNM001,535.8333
GNM002,584.8333
GNM003,475.8333
GNM004,316.6667
GNM005,368.0
GNM006,556.8333
GNM007,252.6667
GNM008,353.5
GNM009,520.6667
GNM010,277.0
GNM011,247.6667
GNM012,320.1667
GNM013,279.3333
GNM014,275.6667
GNM015,764.8333
GNM016,441.0
HKD001,520.3333
HKD002,451.0
HKD003,109.0
HKD004,81.1667
HKD005,415.0
HKD006,214.0
HKD007,386.6667
HKD008,264.0
HKD009,282.0
HKD010,623.0
HKD011,425.3333
HKD012,383.6667
HKD013,566.6667
HKD014,255.3333
HKD015,221.3333
HKD016,222.0
HKD017,407.6667
HKD018,561.0
HKD019,362.6667
HKD020,601.6667
HKD021,367.3333
HKD022,484.0
HKD023,255.0
HKD024,402.6667
HKD025,260.3333
HKD026,335.0
HKD027,516.0
HKD028,512.3333
HKD029,463.6667
HKD030,448.3333
HKD031,539.0
HKD032,318.0
HKD033,526.4333
HKD034,281.3333
HKD035,676.5333
HKD036,143.3333
HKD037,336.0
HKD038,679.0
HKD039,492.0
HKD040,323.0
HKD041,576.6667
HKD042,531.0
HKD043,226.0
HKD044,166.6667
HKD045,647.0
HKD046,699.3333
HKD047,412.0
HKD048,210.0
HKD049,375.0
HKD050,304.3333
HKD051,270.0
HKD052,220.0
HKD053,312.3333
HKD054,489.0
HKD055,283.8
HKD056,266.6667
HKD057,300.4
HKD058,305.8
HKD059,230.4667
HKD060,239.0
HKD061,225.3333
HKD062,153.3333
HKD063,396.5
HKD064,343.3333
HKD065,564.6667
HKD066,131.0
HKD067,236.0
HKD068,256.6667
HKD069,181.0
HKD070,153.9333
HKD071,274.3333
HKD072,344.3333
HKD073,266.0
HKD074,309.6667
HKD075,552.3333
HKD076,134.0667
HKD077,205.8667
HKD078,241.3333
HKD079,181.3333
HKD080,282.0
HKD081,328.3333
HKD082,150.0
HKD083,681.6667
HKD084,480.0
HKD085,150.0
HKD086,141.0
HKD087,390.8667
HKD088,511.0
HKD089,395.6667
HKD090,680.8
HKD091,76.7
HKD092,260.6667
HKD093,354.6667
HKD094,326.6667
HKD095,477.0
HKD096,430.0
